,name,form,question_type,answer_min,answer_max,branch_logic
146,musc_troph___5,examination_data,checkbox,1,7,[musc_abn] = '2'
147,musc_troph___6,examination_data,checkbox,1,7,[musc_abn] = '2'
148,musc_troph___7,examination_data,checkbox,1,7,[musc_abn] = '2'
149,abn_refl,examination_data,selected,1,3,NA
150,reflex_st_2,examination_data,selected,1,8,[abn_refl] = '2'
151,spas,examination_data,yes-no,1,3,NA
152,tspas,examination_data,selected,1,6,[spas] = '1'
153,psi,examination_data,selected,1,4,NA
154,vertigo_dizziness,examination_data,yes-no,1,3,NA
155,type_of_dizziness,examination_data,yes-no,1,3,[vertigo_dizziness]='1'
156,gdis,examination_data,yes-no,1,3,NA
157,exgdis,examination_data,selected,0,5,[gdis] = '1'
158,tgdis___0,examination_data,checkbox,0,6,[exgdis] = '0' or [exgdis] = '1' or [exgdis] ='2' or [exgdis] ='5'
159,tgdis___1,examination_data,checkbox,0,6,[exgdis] = '0' or [exgdis] = '1' or [exgdis] ='2' or [exgdis] ='5'
160,tgdis___2,examination_data,checkbox,0,6,[exgdis] = '0' or [exgdis] = '1' or [exgdis] ='2' or [exgdis] ='5'
161,tgdis___3,examination_data,checkbox,0,6,[exgdis] = '0' or [exgdis] = '1' or [exgdis] ='2' or [exgdis] ='5'
162,tgdis___4,examination_data,checkbox,0,6,[exgdis] = '0' or [exgdis] = '1' or [exgdis] ='2' or [exgdis] ='5'
163,tgdis___5,examination_data,checkbox,0,6,[exgdis] = '0' or [exgdis] = '1' or [exgdis] ='2' or [exgdis] ='5'
164,tgdis___6,examination_data,checkbox,0,6,[exgdis] = '0' or [exgdis] = '1' or [exgdis] ='2' or [exgdis] ='5'
165,imbalance_type,examination_data,selected,1,4,[tgdis___3] = '1' or [tgdis___4] = '1'
166,neu_furth,examination_data,selected,1,2,NA
167,nnsym,examination_data,yes-no,1,3,NA
168,addd,examination_data,yes-no,1,3,[nnsym] = '1'
169,hypogon,examination_data,yes-no,1,3,[nnsym]='1'
170,abnormality_of_other_organ___1,examination_data,checkbox,1,9,[nnsym]= '1'
171,abnormality_of_other_organ___2,examination_data,checkbox,1,9,[nnsym]= '1'
172,abnormality_of_other_organ___3,examination_data,checkbox,1,9,[nnsym]= '1'
173,abnormality_of_other_organ___4,examination_data,checkbox,1,9,[nnsym]= '1'
174,abnormality_of_other_organ___5,examination_data,checkbox,1,9,[nnsym]= '1'
175,abnormality_of_other_organ___6,examination_data,checkbox,1,9,[nnsym]= '1'
176,abnormality_of_other_organ___7,examination_data,checkbox,1,9,[nnsym]= '1'
177,abnormality_of_other_organ___8,examination_data,checkbox,1,9,[nnsym]= '1'
178,abnormality_of_other_organ___9,examination_data,checkbox,1,9,[nnsym]= '1'
185,pd,examination_data,selected,0,7,NA
